[22-01-2016 17:19:17,568] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:19:18,446] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:19:18,754] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:19:19,126] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:20:07,189] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:20:08,091] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:20:08,443] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:20:08,751] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:20:17,324] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:20:17,328] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:20:17,330] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:20:29,683] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:20:29,689] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:20:29,695] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:20:29,788] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:20:29,794] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:20:29,797] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:22:08,731] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:22:09,458] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:22:09,807] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:22:10,166] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:22:50,425] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:22:50,443] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:22:50,448] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:24:37,753] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:24:37,772] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - Comprobando si existe la tabla clientes
[22-01-2016 17:24:37,776] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.compruebaTablaClientes() - La tabla clientes existe
[22-01-2016 17:27:29,266] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:27:29,441] [main] INFO  vista.Inicio.main() - Fichero de configuración de log4j cargado.
[22-01-2016 17:27:30,306] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
[22-01-2016 17:27:30,724] [AWT-EventQueue-0] INFO  controlador.ConexionBBDD.<init>() - Conectando a la base de datos...
